siteID,date,year,startTime.UTC,season,sampleTime,habitatType,samplerType,sampleID,organism_aggr,acceptedTaxonID,number,benthicArea,invDens,tolerance,FFG,mon.precip
MART,4/20/2018,2018,17:08:00,Spring,Spring 2018,riffle,surber,MART.20180420.SURBER.1,Neophylax,NEOSP13,3,0.093,32.25806452,3,scr,NA
MART,4/20/2018,2018,17:08:00,Spring,Spring 2018,riffle,surber,MART.20180420.SURBER.1,Neophylax,NEOSP13,3,0.093,32.25806452,3,scr,NA
MART,4/20/2018,2018,17:08:00,Spring,Spring 2018,riffle,surber,MART.20180420.SURBER.8,Ameletus,AMESP2,1,0.093,10.75268817,0,scr,NA
MART,4/20/2018,2018,17:08:00,Spring,Spring 2018,riffle,surber,MART.20180420.SURBER.8,Ameletus,AMESP2,1,0.093,10.75268817,0,scr,NA
MART,4/20/2018,2018,17:08:00,Spring,Spring 2018,riffle,surber,MART.20180420.SURBER.8,Ameletus,AMESP2,1,0.093,10.75268817,0,scr,NA
MART,4/20/2018,2018,17:08:00,Spring,Spring 2018,riffle,surber,MART.20180420.SURBER.3,Cinygmula,CINSP1,1,0.093,10.75268817,2,scr,NA
MART,4/20/2018,2018,17:08:00,Spring,Spring 2018,pool,surber,MART.20180420.SURBER.4,midges,PARSP33,1,0.093,10.75268817,6,cg,NA
MART,4/20/2018,2018,17:08:00,Spring,Spring 2018,pool,surber,MART.20180420.SURBER.7,Ephemeroptera,EPHSP,3,0.093,32.25806452,NA,NA,NA
MART,4/20/2018,2018,17:08:00,Spring,Spring 2018,riffle,surber,MART.20180420.SURBER.1,Chloroperlidae,CHLSP,1,0.093,10.75268817,0,prd,NA
MART,4/20/2018,2018,17:08:00,Spring,Spring 2018,riffle,surber,MART.20180420.SURBER.3,Epeorus,EPESP,1,0.093,10.75268817,0,scr,NA
MART,4/20/2018,2018,17:08:00,Spring,Spring 2018,pool,surber,MART.20180420.SURBER.7,Baetis,BAEBIC,5,0.093,53.76344086,4,cg,NA
MART,4/20/2018,2018,17:08:00,Spring,Spring 2018,pool,surber,MART.20180420.SURBER.7,Baetis,BAEBIC,3,0.093,32.25806452,4,cg,NA
MART,4/20/2018,2018,17:08:00,Spring,Spring 2018,riffle,surber,MART.20180420.SURBER.3,Baetis,BAESP2,1,0.093,10.75268817,4,cg,NA
MART,4/20/2018,2018,17:08:00,Spring,Spring 2018,pool,surber,MART.20180420.SURBER.7,Despaxia,DESAUG,3,0.093,32.25806452,0,sh,NA
MART,4/20/2018,2018,17:08:00,Spring,Spring 2018,riffle,surber,MART.20180420.SURBER.3,Paraperla,PARSP16,1,0.093,10.75268817,0,prd,NA
MART,4/20/2018,2018,17:08:00,Spring,Spring 2018,pool,surber,MART.20180420.SURBER.5,Polycelis,POLSP17,1,0.093,10.75268817,1,cg,NA
MART,4/20/2018,2018,17:08:00,Spring,Spring 2018,pool,surber,MART.20180420.SURBER.7,Aturidae,ATUSP,11,0.093,118.2795699,5,prd,NA
MART,4/20/2018,2018,17:08:00,Spring,Spring 2018,pool,surber,MART.20180420.SURBER.7,Ephemerella,EPHTIB,3,0.093,32.25806452,1,cg,NA
MART,4/20/2018,2018,17:08:00,Spring,Spring 2018,pool,surber,MART.20180420.SURBER.4,midges,POLSP13,1,0.093,10.75268817,6,sh,NA
MART,4/20/2018,2018,17:08:00,Spring,Spring 2018,pool,surber,MART.20180420.SURBER.4,Ameletus,AMESP2,3,0.093,32.25806452,0,scr,NA
MART,4/20/2018,2018,17:08:00,Spring,Spring 2018,pool,surber,MART.20180420.SURBER.4,Ameletus,AMESP2,3,0.093,32.25806452,0,scr,NA
MART,4/20/2018,2018,17:08:00,Spring,Spring 2018,pool,surber,MART.20180420.SURBER.4,Ameletus,AMESP2,3,0.093,32.25806452,0,scr,NA
MART,4/20/2018,2018,17:08:00,Spring,Spring 2018,riffle,surber,MART.20180420.SURBER.2,midges,SYNSP3,1,0.093,10.75268817,6,cg,NA
MART,4/20/2018,2018,17:08:00,Spring,Spring 2018,pool,surber,MART.20180420.SURBER.7,midges,RHESP1,3,0.093,32.25806452,6,cg,NA
MART,4/20/2018,2018,17:08:00,Spring,Spring 2018,pool,surber,MART.20180420.SURBER.7,midges,TVEBAV,3,0.093,32.25806452,4,cg,NA
MART,4/20/2018,2018,17:08:00,Spring,Spring 2018,pool,surber,MART.20180420.SURBER.4,Ameletus,AMESP2,2,0.093,21.50537634,0,scr,NA
MART,4/20/2018,2018,17:08:00,Spring,Spring 2018,pool,surber,MART.20180420.SURBER.4,Ameletus,AMESP2,2,0.093,21.50537634,0,scr,NA
MART,4/20/2018,2018,17:08:00,Spring,Spring 2018,pool,surber,MART.20180420.SURBER.4,Ameletus,AMESP2,2,0.093,21.50537634,0,scr,NA
MART,4/20/2018,2018,17:08:00,Spring,Spring 2018,pool,surber,MART.20180420.SURBER.4,midges,RHESP1,1,0.093,10.75268817,6,cg,NA
MART,4/20/2018,2018,17:08:00,Spring,Spring 2018,riffle,surber,MART.20180420.SURBER.2,Epeorus,EPESP,4,0.093,43.01075269,0,scr,NA
MART,4/20/2018,2018,17:08:00,Spring,Spring 2018,riffle,surber,MART.20180420.SURBER.6,midges,PARSP29,1,0.093,10.75268817,6,cg,NA
MART,4/20/2018,2018,17:08:00,Spring,Spring 2018,riffle,surber,MART.20180420.SURBER.3,midges,STESP10,7,0.093,75.2688172,4,cg,NA
MART,4/20/2018,2018,17:08:00,Spring,Spring 2018,pool,surber,MART.20180420.SURBER.4,Epeorus,EPESP,14,0.093,150.5376344,0,scr,NA
MART,4/20/2018,2018,17:08:00,Spring,Spring 2018,pool,surber,MART.20180420.SURBER.5,Epeorus,EPESP,6,0.093,64.51612903,0,scr,NA
MART,4/20/2018,2018,17:08:00,Spring,Spring 2018,pool,surber,MART.20180420.SURBER.7,Rhyacophila,RHYSP3,5,0.093,53.76344086,1,prd,NA
MART,4/20/2018,2018,17:08:00,Spring,Spring 2018,riffle,surber,MART.20180420.SURBER.8,midges,KRESP1,2,0.093,21.50537634,1,cg,NA
MART,4/20/2018,2018,17:08:00,Spring,Spring 2018,riffle,surber,MART.20180420.SURBER.3,midges,STESP10,1,0.093,10.75268817,4,cg,NA
MART,4/20/2018,2018,17:08:00,Spring,Spring 2018,riffle,surber,MART.20180420.SURBER.1,Baetis,BAEBIC,15,0.093,161.2903226,4,cg,NA
MART,4/20/2018,2018,17:08:00,Spring,Spring 2018,riffle,surber,MART.20180420.SURBER.3,Zaitzevia,ZAISP,3,0.093,32.25806452,4,scr,NA
MART,4/20/2018,2018,17:08:00,Spring,Spring 2018,pool,surber,MART.20180420.SURBER.5,Calineuria,CALCAL,1,0.093,10.75268817,2,prd,NA
MART,4/20/2018,2018,17:08:00,Spring,Spring 2018,riffle,surber,MART.20180420.SURBER.8,Torrenticola,TORSP6,11,0.093,118.2795699,5,prd,NA
MART,4/20/2018,2018,17:08:00,Spring,Spring 2018,riffle,surber,MART.20180420.SURBER.3,midges,THISP2,1,0.093,10.75268817,5,cg,NA
MART,4/20/2018,2018,17:08:00,Spring,Spring 2018,pool,surber,MART.20180420.SURBER.7,Ephemerella,EPHTIB,3,0.093,32.25806452,1,cg,NA
MART,4/20/2018,2018,17:08:00,Spring,Spring 2018,pool,surber,MART.20180420.SURBER.4,Hexatoma,HEXSP3,1,0.093,10.75268817,2,prd,NA
MART,4/20/2018,2018,17:08:00,Spring,Spring 2018,pool,surber,MART.20180420.SURBER.4,Neophylax,NEOSPL,1,0.093,10.75268817,3,scr,NA
MART,4/20/2018,2018,17:08:00,Spring,Spring 2018,riffle,surber,MART.20180420.SURBER.3,Baetis,BAEBIC,4,0.093,43.01075269,4,cg,NA
