siteID,date,year,startTime.UTC,habitatType,samplerType,sampleID,organism_aggr,acceptedTaxonID,number,benthicArea,invDens,tolerance,FFG,mon.precip,mon.ADD
MAYF,2017-10-30,2017,14:53:00,run,snag,MAYF.20171030.SNAG.1,midges,PARSP26,7,0.105,66.66666666666667,5,cg,83.06,567.1585921270514
MAYF,2017-10-30,2017,14:53:00,run,snag,MAYF.20171030.SNAG.4,Hemerodromia,HEMSP4,1,0.214,4.672897196261682,6,prd,83.06,567.1585921270514
MAYF,2017-10-30,2017,14:53:00,run,snag,MAYF.20171030.SNAG.5,Ceratopogoninae,CERSP10,4,0.207,19.32367149758454,6,prd,83.06,567.1585921270514
MAYF,2017-10-30,2017,14:53:00,run,snag,MAYF.20171030.SNAG.5,Hygrobates,HYGSP2,2,0.207,9.66183574879227,8,prd,83.06,567.1585921270514
MAYF,2017-10-30,2017,14:53:00,run,snag,MAYF.20171030.SNAG.5,midges,PARSP26,2,0.207,9.66183574879227,5,cg,83.06,567.1585921270514
MAYF,2017-10-30,2017,14:53:00,run,snag,MAYF.20171030.SNAG.3,Calopteryx,CALSP15,1,0.064,15.625,6,prd,83.06,567.1585921270514
MAYF,2017-10-30,2017,14:53:00,run,snag,MAYF.20171030.SNAG.1,midges,PARSP26,3,0.105,28.571428571428573,5,cg,83.06,567.1585921270514
MAYF,2017-10-30,2017,14:53:00,run,snag,MAYF.20171030.SNAG.5,segmented_worms,ENCSP1,2,0.207,9.66183574879227,10,cg,83.06,567.1585921270514
MAYF,2017-10-30,2017,14:53:00,run,snag,MAYF.20171030.SNAG.4,midges,RHESP1,1,0.214,4.672897196261682,6,cg,83.06,567.1585921270514
MAYF,2017-10-30,2017,14:53:00,run,snag,MAYF.20171030.SNAG.2,midges,PARSP26,4,0.119,33.61344537815126,5,cg,83.06,567.1585921270514
MAYF,2017-10-30,2017,14:53:00,run,snag,MAYF.20171030.SNAG.2,Nematoda,NEMSP,1,0.119,8.403361344537815,5,cg,83.06,567.1585921270514
MAYF,2017-10-30,2017,14:53:00,run,snag,MAYF.20171030.SNAG.5,Bezzia,BEZSP1,16,0.207,77.29468599033817,6,prd,83.06,567.1585921270514
MAYF,2017-10-30,2017,14:53:00,run,snag,MAYF.20171030.SNAG.5,midges,TANSP11,4,0.207,19.32367149758454,6,cf,83.06,567.1585921270514
MAYF,2017-10-30,2017,14:53:00,run,snag,MAYF.20171030.SNAG.5,Leptophlebiidae,LEPSP4,2,0.207,9.66183574879227,4,cg,83.06,567.1585921270514
MAYF,2017-10-30,2017,14:53:00,run,snag,MAYF.20171030.SNAG.4,NA,HELFAS,1,0.214,4.672897196261682,NA,NA,83.06,567.1585921270514
MAYF,2017-10-30,2017,14:53:00,run,snag,MAYF.20171030.SNAG.5,midges,STESP8,2,0.207,9.66183574879227,5,cg,83.06,567.1585921270514
MAYF,2017-10-30,2017,14:53:00,run,snag,MAYF.20171030.SNAG.1,Atractides,ATRSP3,5,0.105,47.61904761904762,8,prd,83.06,567.1585921270514
MAYF,2017-10-30,2017,14:53:00,run,snag,MAYF.20171030.SNAG.4,midges,RHEEXI,1,0.214,4.672897196261682,6,cf,83.06,567.1585921270514
