siteID,date,year,startTime.UTC,habitatType,samplerType,sampleID,organism_aggr,acceptedTaxonID,number,benthicArea,invDens,tolerance,FFG,mon.precip,mon.ADD
OKSR,2017-08-07,2017,20:05:00,riffle,surber,OKSR.20170807.SURBER.4,midges,ORTEUO,3,0.093,32.25806451612903,6,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.8,Nemouridae,NEMSP5,32,0.25,128,2,sh,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.8,midges,CLASP6,21,0.25,84,5,cf,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,riffle,surber,OKSR.20170807.SURBER.4,midges,THISP2,1,0.093,10.75268817204301,5,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,riffle,surber,OKSR.20170807.SURBER.6,midges,CLASP6,3,0.093,32.25806451612903,5,cf,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,riffle,surber,OKSR.20170807.SURBER.6,midges,THISP2,1,0.093,10.75268817204301,5,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,riffle,surber,OKSR.20170807.SURBER.2,midges,CLASP6,1,0.093,10.75268817204301,5,cf,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.1,midges,PARSP36,1,0.25,4,7,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.3,segmented_worms,ENCSP1,1,0.25,4,10,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.3,segmented_worms,ENCSP1,1,0.25,4,10,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.8,Physa,PHYSP7,2,0.25,8,8,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.7,Tipula,TIPSP3,2,0.25,8,6,sh,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.7,Tipula,TIPSP3,2,0.25,8,6,sh,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.8,midges,HYDSP52,3,0.25,12,4,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.3,midges,POLSCA,9,0.25,36,6,sh,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,riffle,surber,OKSR.20170807.SURBER.4,Capniidae,CAPSP2,2,0.093,21.50537634408602,3,sh,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.7,Physa,PHYSP7,2,0.25,8,8,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.3,segmented_worms,NAISP,12,0.25,48,8,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.3,segmented_worms,NAISP,12,0.25,48,10,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.3,segmented_worms,NAISP,12,0.25,48,10,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.3,segmented_worms,NAISP,12,0.25,48,8,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.3,segmented_worms,NAISP,12,0.25,48,10,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,riffle,surber,OKSR.20170807.SURBER.4,midges,EUKSP,2,0.093,21.50537634408602,5,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.8,midges,CRISP6,2,0.25,8,6,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.5,midges,CRISP6,3,0.25,12,6,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,riffle,surber,OKSR.20170807.SURBER.2,midges,TVEBAV,2,0.093,21.50537634408602,4,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.8,midges,THIGRO,2,0.25,8,6,prd,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.7,segmented_worms,ENCSP1,4,0.25,16,10,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.7,segmented_worms,ENCSP1,4,0.25,16,10,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.8,Collembola,COLSP1,2,0.25,8,5,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.5,segmented_worms,LUMSP2,1,0.25,4,5,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.5,segmented_worms,LUMSP2,1,0.25,4,5,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.3,segmented_worms,LUMSP2,1,0.25,4,5,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.3,segmented_worms,LUMSP2,1,0.25,4,5,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.8,Valvata,VALSP3,2,0.25,8,8,scr,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.3,segmented_worms,ENCSP1,2,0.25,8,10,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.3,segmented_worms,ENCSP1,2,0.25,8,10,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.3,Hygrobates,HYGSP2,15,0.25,60,8,prd,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.3,segmented_worms,LUMSP2,1,0.25,4,5,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.3,segmented_worms,LUMSP2,1,0.25,4,5,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.5,midges,CRISP6,1,0.25,4,6,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.7,Chloroperlidae,CHLSP,2,0.25,8,0,prd,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.8,midges,NANSP1,2,0.25,8,7,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.3,segmented_worms,NAISP,10,0.25,40,8,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.3,segmented_worms,NAISP,10,0.25,40,10,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.3,segmented_worms,NAISP,10,0.25,40,10,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.3,segmented_worms,NAISP,10,0.25,40,8,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.3,segmented_worms,NAISP,10,0.25,40,10,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.8,Physa,PHYSP7,2,0.25,8,8,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.3,Nemoura,NEMSP7,3,0.25,12,1,sh,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.3,Nemoura,NEMSP7,3,0.25,12,1,sh,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,riffle,surber,OKSR.20170807.SURBER.2,Lebertia,LEBSP1,1,0.093,10.75268817204301,8,prd,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.5,Sperchon,SPESP4,1,0.25,4,8,prd,85.29,370.18491584027794
