siteID,date,year,startTime.UTC,season,sampleTime,habitatType,samplerType,sampleID,organism_aggr,acceptedTaxonID,number,benthicArea,invDens,tolerance,FFG
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.05,Baetis,BAETRI,8,0.093,86.02150537634408,6,cg
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.01,Rhyacophila,RHYBET,3,0.093,32.25806451612903,1,prd
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.02,Sialis,SIASP1,1,0.093,10.75268817204301,4,prd
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.02,Cinygmula,CINSP1,2,0.093,21.50537634408602,2,scr
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.04,Sweltsa,SWESP,10,0.093,107.52688172043011,0,prd
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.02,Baetis,BAESP2,42,0.093,451.61290322580646,4,cg
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.03,midges,STESP10,3,0.093,32.25806451612903,4,cg
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.01,Calineuria,CALCAL,3,0.093,32.25806451612903,2,prd
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.02,Ephemerella,EPHSP4,2,0.093,21.50537634408602,1,cg
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.04,midges,PARSP26,2,0.093,21.50537634408602,5,cg
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,hess,MCRA.20170801.HESS.02,Glossosoma,GLOSP3,1,0.086,11.627906976744187,0,scr
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.05,Acari,ACASP1,7,0.093,75.26881720430107,6,prd
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.01,Yoraperla,YORSP,11,0.093,118.27956989247312,1,sh
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,hess,MCRA.20170801.HESS.01,Rhyacophila,RHYSP3,1,0.086,11.627906976744187,1,prd
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.04,Nematoda,NEMSP,5,0.093,53.763440860215056,5,cg
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,hess,MCRA.20170801.HESS.02,Ameletus,AMESP2,2,0.086,23.255813953488374,0,scr
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.02,Sweltsa,SWESP,2,0.093,21.50537634408602,0,prd
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,hess,MCRA.20170801.HESS.01,midges,PAGSP4,1,0.086,11.627906976744187,1,cg
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.01,Ameletus,AMESP2,3,0.093,32.25806451612903,0,scr
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,hess,MCRA.20170801.HESS.03,midges,CRINOS2,1,0.086,11.627906976744187,7,sh
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,hess,MCRA.20170801.HESS.03,midges,ZAVSP,7,0.086,81.39534883720931,8,prd
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.03,midges,STESP10,21,0.093,225.80645161290323,4,cg
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.03,Paraleptophlebia,PARSP14,5,0.093,53.763440860215056,1,cg
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.01,Baetis,BAETRI,5,0.093,53.763440860215056,6,cg
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,hess,MCRA.20170801.HESS.02,midges,RHEPEL,1,0.086,11.627906976744187,4,cf
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.02,Paraleptophlebia,PARSP14,1,0.093,10.75268817204301,1,cg
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,hess,MCRA.20170801.HESS.03,midges,PENSP6,6,0.086,69.76744186046513,6,prd
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.01,midges,LARSP,3,0.093,32.25806451612903,6,prd
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.02,Rhyacophila,RHYHYA,1,0.093,10.75268817204301,1,prd
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,hess,MCRA.20170801.HESS.03,midges,KRESP1,1,0.086,11.627906976744187,1,cg
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.01,midges,BRISP,3,0.093,32.25806451612903,6,cg
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,hess,MCRA.20170801.HESS.03,midges,CORSP19,1,0.086,11.627906976744187,4,cg
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.02,Zapada,ZAPSP,43,0.093,462.36559139784947,2,sh
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.03,Perlodidae,PERSP2,3,0.093,32.25806451612903,2,prd
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,hess,MCRA.20170801.HESS.03,Polycentropus,POLSP12,1,0.086,11.627906976744187,6,prd
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,hess,MCRA.20170801.HESS.01,Zapada,ZAPORE,1,0.086,11.627906976744187,2,sh
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.05,Ameletus,AMESP2,1,0.093,10.75268817204301,0,scr
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,hess,MCRA.20170801.HESS.03,midges,MICSP6,16,0.086,186.046511627907,7,cf
