siteID,date,year,startTime.UTC,pH,DO,turb
MILL,2019-05-28,2019,14:19:00,7.48,10.24,5
MILL,2019-05-28,2019,16:08:00,7.47,10.27,8
MILL,2019-05-28,2019,15:05:00,7.48,10.29,9.9
MILL,2019-05-28,2019,15:36:00,7.49,10.31,8.7
MILL,2019-05-28,2019,13:40:00,7.46,10.1,6.5
MILL,2019-05-28,2019,14:19:00,7.48,10.22,8.5
MILL,2019-05-28,2019,16:08:00,7.47,10.32,11.8
MILL,2019-05-28,2019,15:05:00,7.47,10.26,10.6
MILL,2019-05-28,2019,15:36:00,7.49,10.32,6.6
MILL,2019-05-28,2019,13:40:00,7.46,10.1,7.4
MILL,2019-05-30,2019,14:14:00,7.55,11.1,4.5
MILL,2019-05-30,2019,14:40:00,7.56,NA,6.4
MILL,2019-05-30,2019,15:20:00,7.58,NA,4.5
MILL,2019-05-30,2019,13:41:00,7.51,10.98,5.9
MILL,2019-05-30,2019,15:45:00,7.58,NA,5.7
MILL,2019-05-30,2019,14:14:00,7.54,11.11,4.2
MILL,2019-05-30,2019,14:40:00,7.55,NA,6.8
MILL,2019-05-30,2019,15:20:00,7.57,NA,8.6
MILL,2019-05-30,2019,13:41:00,7.53,11.06,6.9
MILL,2019-05-30,2019,15:45:00,7.56,NA,4.5
MILL,2019-05-31,2019,14:00:00,7.57,10.33,4.7
MILL,2019-05-31,2019,14:24:00,7.63,10.43,3.4
MILL,2019-05-31,2019,14:57:00,7.65,10.36,2.4
MILL,2019-05-31,2019,13:36:00,7.54,10.25,6
MILL,2019-05-31,2019,15:20:00,7.65,10.35,3.2
MILL,2019-05-31,2019,14:00:00,7.57,10.38,7.1
MILL,2019-05-31,2019,14:24:00,7.62,10.47,4
MILL,2019-05-31,2019,14:57:00,7.63,10.37,3.9
MILL,2019-05-31,2019,13:36:00,7.56,10.29,5.5
MILL,2019-05-31,2019,15:20:00,7.64,10.38,5.4
MILL,2019-06-03,2019,14:11:00,7.5,9.88,7.6
MILL,2019-06-03,2019,14:30:00,7.5,9.8,5
MILL,2019-06-03,2019,15:05:00,7.52,9.87,8
MILL,2019-06-03,2019,15:32:00,7.56,9.84,6.7
MILL,2019-06-03,2019,13:39:00,7.47,9.87,9
MILL,2019-06-03,2019,14:11:00,7.5,9.89,6.6
MILL,2019-06-03,2019,14:30:00,7.49,9.83,8.6
MILL,2019-06-03,2019,15:05:00,7.5,9.86,6.5
MILL,2019-06-03,2019,15:32:00,7.56,9.84,7.9
MILL,2019-06-03,2019,13:39:00,7.47,9.88,6.3
MILL,2019-06-04,2019,14:05:00,7.43,10.26,5.5
MILL,2019-06-04,2019,14:27:00,7.44,10.21,5.2
MILL,2019-06-04,2019,14:56:00,7.47,10.27,8.7
MILL,2019-06-04,2019,15:15:00,7.5,10.21,7.5
MILL,2019-06-04,2019,13:30:00,7.44,10.26,7.4
MILL,2019-06-04,2019,14:05:00,7.44,10.26,7
MILL,2019-06-04,2019,14:27:00,7.45,10.23,6
MILL,2019-06-04,2019,14:56:00,7.49,10.26,8
MILL,2019-06-04,2019,15:15:00,7.53,10.23,7.8
MILL,2019-06-04,2019,13:30:00,7.43,10.22,7.7
MILL,2019-06-05,2019,14:09:00,7.7,10.37,5
MILL,2019-06-05,2019,14:48:00,7.76,10.36,3.7
MILL,2019-06-05,2019,15:17:00,7.76,10.33,4
MILL,2019-06-05,2019,13:36:00,7.68,10.29,3.8
MILL,2019-06-05,2019,15:37:00,7.77,10.26,4.7
MILL,2019-06-05,2019,14:02:00,7.71,10.28,4.9
MILL,2019-06-05,2019,14:48:00,7.75,10.38,4
MILL,2019-06-05,2019,15:17:00,7.76,10.3,7.4
MILL,2019-06-05,2019,13:36:00,7.66,10.34,4.4
MILL,2019-06-05,2019,15:37:00,7.75,10.33,6.7
MILL,2019-06-14,2019,17:56:00,7.55,9.93,6.1
MILL,2019-06-14,2019,18:14:00,7.58,9.98,6.6
MILL,2019-06-14,2019,18:02:00,7.56,9.93,7.7
MILL,2019-06-14,2019,18:08:00,7.6,9.98,9.8
MILL,2019-06-14,2019,17:50:00,7.48,9.85,9.1
MILL,2019-06-14,2019,17:58:00,7.55,9.92,7.1
MILL,2019-06-14,2019,18:16:00,7.57,9.97,4.6
MILL,2019-06-14,2019,18:04:00,7.57,9.93,9.7
MILL,2019-06-14,2019,18:10:00,7.6,9.99,7.6
MILL,2019-06-14,2019,17:52:00,7.54,9.89,8
MILL,2019-06-14,2019,18:00:00,7.55,9.92,6.8
MILL,2019-06-14,2019,18:41:00,7.58,9.97,6.2
MILL,2019-06-14,2019,18:06:00,7.56,9.96,7
MILL,2019-06-14,2019,18:12:00,7.6,9.98,6.8
MILL,2019-06-14,2019,17:54:00,7.55,9.91,8.6
MILL,2019-06-14,2019,18:55:00,7.72,10.08,4.6
MILL,2019-06-14,2019,18:49:00,7.74,10.09,6.4
MILL,2019-06-14,2019,19:01:00,7.72,10.07,3.8
MILL,2019-06-14,2019,18:43:00,7.75,10.08,5.9
MILL,2019-06-14,2019,19:07:00,7.72,10.06,6.6
MILL,2019-06-14,2019,18:57:00,7.72,10.06,7.6
MILL,2019-06-14,2019,18:51:00,7.73,10.1,6.8
MILL,2019-06-14,2019,19:03:00,7.72,10.07,3.6
MILL,2019-06-14,2019,18:45:00,7.74,10.08,4.7
MILL,2019-06-14,2019,19:09:00,7.72,10.06,5.2
MILL,2019-06-14,2019,18:59:00,7.72,10.06,5.7
MILL,2019-06-14,2019,18:53:00,7.74,10.08,4.9
MILL,2019-06-14,2019,19:05:00,7.72,10.07,3.3
MILL,2019-06-14,2019,18:47:00,7.75,10.09,4.8
MILL,2019-06-14,2019,19:11:00,7.73,10.06,5.7
MILL,2019-09-16,2019,18:05:00,8.08,10.45,7.4
MILL,2019-09-16,2019,18:05:00,8.14,10.43,5.9
MILL,2019-09-16,2019,18:10:00,8.11,10.35,6.5
MILL,2019-09-16,2019,18:04:00,8.05,10.38,19.2
MILL,2019-09-16,2019,18:14:00,8.11,10.37,6.8
MILL,2019-09-16,2019,18:50:00,NA,NA,5.9
MILL,2019-09-16,2019,18:30:00,NA,NA,4.4
MILL,2019-09-16,2019,18:29:00,NA,NA,4.6
MILL,2019-09-16,2019,18:19:00,NA,NA,6.9
MILL,2019-09-16,2019,18:34:00,NA,NA,4.5
MILL,2019-09-16,2019,NA,NA,NA,6.6
MILL,2019-09-16,2019,NA,NA,NA,4.3
MILL,2019-09-16,2019,NA,NA,NA,2.7
MILL,2019-09-16,2019,NA,NA,NA,10.9
MILL,2019-09-16,2019,NA,NA,NA,6
MILL,2019-09-17,2019,18:00:00,7.48,9.83,12
MILL,2019-09-17,2019,17:49:00,7.48,9.91,7.6
MILL,2019-09-17,2019,17:49:00,7.48,10.03,7.7
MILL,2019-09-17,2019,17:50:00,7.51,9.91,8.7
MILL,2019-09-17,2019,17:48:00,7.43,9.73,10.8
MILL,2019-09-17,2019,18:20:00,NA,NA,8.4
MILL,2019-09-17,2019,18:30:00,NA,NA,23.6
MILL,2019-09-17,2019,18:31:00,NA,NA,7.7
MILL,2019-09-17,2019,18:31:00,NA,NA,10.9
MILL,2019-09-17,2019,18:09:00,NA,NA,8.1
MILL,2019-09-17,2019,NA,NA,NA,11.4
MILL,2019-09-17,2019,NA,NA,NA,11.1
MILL,2019-09-17,2019,NA,NA,NA,8.1
MILL,2019-09-17,2019,NA,NA,NA,8.1
MILL,2019-09-17,2019,NA,NA,NA,7.1
MILL,2019-09-23,2019,17:35:00,7.57,9.9,9.1
MILL,2019-09-23,2019,18:00:00,7.63,9.93,7.7
MILL,2019-09-23,2019,17:34:00,7.58,10.03,6.9
MILL,2019-09-23,2019,17:36:00,7.56,10,7
MILL,2019-09-23,2019,17:35:00,7.56,9.7,23.8
MILL,2019-09-23,2019,17:50:00,NA,NA,7
MILL,2019-09-23,2019,18:00:00,NA,NA,9
MILL,2019-09-23,2019,17:48:00,NA,NA,8.3
MILL,2019-09-23,2019,17:53:00,NA,NA,12.1
MILL,2019-09-23,2019,17:52:00,NA,NA,29
MILL,2019-09-23,2019,NA,NA,NA,8.2
MILL,2019-09-23,2019,NA,NA,NA,6.3
MILL,2019-09-23,2019,NA,NA,NA,6.9
MILL,2019-09-23,2019,NA,NA,NA,4.8
MILL,2019-09-23,2019,NA,NA,NA,14.9
MILL,2019-09-24,2019,18:00:00,8.06,10.44,8.7
MILL,2019-09-24,2019,17:57:00,8.2,10.55,4.1
MILL,2019-09-24,2019,17:55:00,8.1,10.22,4.9
MILL,2019-09-24,2019,17:55:00,7.75,10.08,11.3
MILL,2019-09-24,2019,17:52:00,8.12,9.98,7
MILL,2019-09-24,2019,18:21:00,NA,NA,4.7
MILL,2019-09-24,2019,18:12:00,NA,NA,5.4
MILL,2019-09-24,2019,18:12:00,NA,NA,6.6
MILL,2019-09-24,2019,18:07:00,NA,NA,21.7
MILL,2019-09-24,2019,18:10:00,NA,NA,7.6
MILL,2019-09-24,2019,NA,NA,NA,6.2
MILL,2019-09-24,2019,NA,NA,NA,4.2
MILL,2019-09-24,2019,NA,NA,NA,3.4
MILL,2019-09-24,2019,NA,NA,NA,16.4
MILL,2019-09-24,2019,NA,NA,NA,6
MILL,2019-09-26,2019,18:04:00,7.42,NA,17.8
MILL,2019-09-26,2019,18:04:00,7.4,NA,9.6
MILL,2019-09-26,2019,18:04:00,7.4,NA,10.9
MILL,2019-09-26,2019,18:08:00,7.36,NA,21.2
MILL,2019-09-26,2019,18:06:00,7.45,NA,15
MILL,2019-09-26,2019,18:14:00,NA,NA,7
MILL,2019-09-26,2019,18:27:00,NA,NA,9
MILL,2019-09-26,2019,18:24:00,NA,NA,8.6
MILL,2019-09-26,2019,18:27:00,NA,NA,21.2
MILL,2019-09-26,2019,18:37:00,NA,NA,32.7
MILL,2019-09-26,2019,NA,NA,NA,11.4
MILL,2019-09-26,2019,NA,NA,NA,9.9
MILL,2019-09-26,2019,NA,NA,NA,24.4
MILL,2019-09-26,2019,NA,NA,NA,7.3
MILL,2019-09-26,2019,NA,NA,NA,34
MILL,2019-09-30,2019,18:00:00,7.58,10.17,9.6
MILL,2019-09-30,2019,18:00:00,7.61,10.27,12.2
MILL,2019-09-30,2019,18:00:00,7.58,10,7.2
MILL,2019-09-30,2019,18:00:00,7.61,10.17,14.6
MILL,2019-09-30,2019,18:00:00,7.54,9.9,17.7
MILL,2019-09-30,2019,18:00:00,7.58,10.27,9.3
MILL,2019-09-30,2019,18:00:00,7.6,10.21,10.9
MILL,2019-09-30,2019,18:00:00,7.58,10.35,25.9
MILL,2019-09-30,2019,18:00:00,7.62,10.28,24.5
MILL,2019-09-30,2019,18:00:00,7.56,10.23,30
MILL,2019-09-30,2019,NA,7.58,10.26,18.6
MILL,2019-09-30,2019,NA,7.61,10.28,9.4
MILL,2019-09-30,2019,NA,7.59,10.33,8.7
MILL,2019-09-30,2019,NA,7.6,10.24,7.5
MILL,2019-09-30,2019,NA,7.58,10.27,9.8
MILL,2019-09-30,2019,18:00:00,7.95,10.95,16.1
MILL,2019-09-30,2019,18:00:00,8.03,10.99,10.3
MILL,2019-09-30,2019,18:00:00,7.93,10.71,9.1
MILL,2019-09-30,2019,18:00:00,7.91,10.28,13.8
MILL,2019-09-30,2019,18:00:00,7.98,10.75,10.4
MILL,2019-09-30,2019,18:00:00,7.93,10.87,9.4
MILL,2019-09-30,2019,18:00:00,8.06,10.82,8.5
MILL,2019-09-30,2019,18:00:00,7.95,10.73,4.3
MILL,2019-09-30,2019,18:00:00,7.93,10.84,4.9
MILL,2019-09-30,2019,18:00:00,7.99,10.76,6.8
MILL,2019-09-30,2019,NA,7.97,10.91,12.2
MILL,2019-09-30,2019,NA,8.03,10.98,12
MILL,2019-09-30,2019,NA,7.95,10.65,7.8
MILL,2019-09-30,2019,NA,8.01,10.89,6.6
MILL,2019-09-30,2019,NA,7.97,10.71,9.8
MILL,2019-10-01,2019,18:00:00,7.55,10.08,9.3
MILL,2019-10-01,2019,18:00:00,7.61,9.99,11.2
MILL,2019-10-01,2019,18:00:00,7.61,10.25,8.8
MILL,2019-10-01,2019,18:00:00,7.63,10,15.4
MILL,2019-10-01,2019,18:00:00,7.56,9.97,12.8
MILL,2019-10-01,2019,18:00:00,7.56,10.09,8.9
MILL,2019-10-01,2019,18:00:00,7.61,10.12,9.1
MILL,2019-10-01,2019,18:00:00,7.6,10.32,10.8
MILL,2019-10-01,2019,18:00:00,7.61,10.1,9.5
MILL,2019-10-01,2019,18:00:00,7.54,10.15,11.3
MILL,2019-10-01,2019,NA,7.56,10.1,8.4
MILL,2019-10-01,2019,NA,7.61,10.18,9.2
MILL,2019-10-01,2019,NA,7.6,10.31,9.2
MILL,2019-10-01,2019,NA,7.63,10.23,8.4
MILL,2019-10-01,2019,NA,7.49,10.14,8.1
MILL,2019-10-01,2019,18:00:00,7.99,10.84,10.6
MILL,2019-10-01,2019,18:00:00,8.02,10.83,8.2
MILL,2019-10-01,2019,18:00:00,8.17,10.75,8.8
MILL,2019-10-01,2019,18:00:00,7.81,10.71,8.1
MILL,2019-10-01,2019,18:00:00,8.17,10.79,12
MILL,2019-10-01,2019,18:00:00,8.03,10.78,10.9
MILL,2019-10-01,2019,18:00:00,8.09,10.83,9.5
MILL,2019-10-01,2019,18:00:00,8.14,10.78,9
MILL,2019-10-01,2019,18:00:00,7.96,11.01,25.1
MILL,2019-10-01,2019,18:00:00,8.17,10.81,6.2
MILL,2019-10-01,2019,NA,8.03,10.83,9.2
MILL,2019-10-01,2019,NA,8.14,10.97,7.2
MILL,2019-10-01,2019,NA,8.18,10.81,5.7
MILL,2019-10-01,2019,NA,7.88,10.83,10.3
