id,date,prcp,tmax,tmin,month,year,yday,prcp.mm,tmax.C,tmin.C,tavg.C
USC00190120,2018-01-01,0,-111,-228,1,2018,1,0,-11.1,-22.8,-16.95
USC00190120,2018-01-02,0,-117,-256,1,2018,2,0,-11.7,-25.6,-18.65
USC00190120,2018-01-03,0,-61,-256,1,2018,3,0,-6.1,-25.6,-15.850000000000001
USC00190120,2018-01-04,0,-50,-183,1,2018,4,0,-5,-18.3,-11.65
USC00190120,2018-01-05,99,-44,-133,1,2018,5,9.9,-4.4,-13.3,-8.850000000000001
USC00190120,2018-01-06,0,-117,-167,1,2018,6,0,-11.7,-16.7,-14.2
USC00190120,2018-01-07,0,-117,-278,1,2018,7,0,-11.7,-27.8,-19.75
USC00190120,2018-01-08,0,-78,-272,1,2018,8,0,-7.8,-27.2,-17.5
USC00190120,2018-01-09,0,-11,-89,1,2018,9,0,-1.1,-8.9,-5
USC00190120,2018-01-10,0,50,-144,1,2018,10,0,5,-14.4,-4.7
USC00190120,2018-01-11,0,22,-139,1,2018,11,0,2.2,-13.9,-5.85
USC00190120,2018-01-12,0,94,0,1,2018,12,0,9.4,0,4.7
USC00190120,2018-01-13,485,156,33,1,2018,13,48.5,15.6,3.3,9.45
USC00190120,2018-01-14,0,33,-117,1,2018,14,0,3.3,-11.7,-4.199999999999999
USC00190120,2018-01-15,0,-56,-133,1,2018,15,0,-5.6,-13.3,-9.45
USC00190120,2018-01-16,0,-61,-133,1,2018,16,0,-6.1,-13.3,-9.7
USC00190120,2018-01-17,71,-6,-78,1,2018,17,7.1,-0.6,-7.8,-4.2
USC00190120,2018-01-18,33,0,-161,1,2018,18,3.3,0,-16.1,-8.05
USC00190120,2018-01-19,0,-17,-161,1,2018,19,0,-1.7,-16.1,-8.9
USC00190120,2018-01-20,0,17,-111,1,2018,20,0,1.7,-11.1,-4.7
USC00190120,2018-01-21,0,89,-61,1,2018,21,0,8.9,-6.1,1.4000000000000004
USC00190120,2018-01-22,8,89,-50,1,2018,22,0.8,8.9,-5,1.9500000000000002
USC00190120,2018-01-23,43,28,0,1,2018,23,4.3,2.8,0,1.4
USC00190120,2018-01-24,208,44,-17,1,2018,24,20.8,4.4,-1.7,1.35
USC00190120,2018-01-25,0,17,-83,1,2018,25,0,1.7,-8.3,-3.3000000000000003
USC00190120,2018-01-26,0,17,-133,1,2018,26,0,1.7,-13.3,-5.800000000000001
USC00190120,2018-01-27,0,11,-139,1,2018,27,0,1.1,-13.9,-6.4
USC00190120,2018-01-28,0,100,-17,1,2018,28,0,10,-1.7,4.15
USC00190120,2018-01-29,0,89,-28,1,2018,29,0,8.9,-2.8,3.0500000000000003
USC00190120,2018-01-30,0,61,-39,1,2018,30,0,6.1,-3.9,1.0999999999999999
USC00190120,2018-01-31,0,22,-89,1,2018,31,0,2.2,-8.9,-3.35
USC00190120,2018-02-01,0,0,-89,2,2018,32,0,0,-8.9,-4.45
USC00190120,2018-02-02,69,44,-89,2,2018,33,6.9,4.4,-8.9,-2.25
USC00190120,2018-02-03,0,-39,-156,2,2018,34,0,-3.9,-15.6,-9.75
USC00190120,2018-02-04,0,-17,-139,2,2018,35,0,-1.7,-13.9,-7.8
USC00190120,2018-02-05,218,44,-17,2,2018,36,21.8,4.4,-1.7,1.35
USC00190120,2018-02-06,0,28,-100,2,2018,37,0,2.8,-10,-3.6
USC00190120,2018-02-07,0,0,-100,2,2018,38,0,0,-10,-5
USC00190120,2018-02-08,165,0,-78,2,2018,39,16.5,0,-7.8,-3.9
USC00190120,2018-02-09,0,0,-156,2,2018,40,0,0,-15.6,-7.8
USC00190120,2018-02-10,0,11,-156,2,2018,41,0,1.1,-15.6,-7.25
USC00190120,2018-02-11,97,67,6,2,2018,42,9.7,6.7,0.6,3.65
USC00190120,2018-02-12,224,56,11,2,2018,43,22.4,5.6,1.1,3.3499999999999996
USC00190120,2018-02-13,0,39,-83,2,2018,44,0,3.9,-8.3,-2.2
USC00190120,2018-02-14,0,6,-72,2,2018,45,0,0.6,-7.2,-3.3000000000000003
USC00190120,2018-02-15,0,94,-28,2,2018,46,0,9.4,-2.8,3.3000000000000003
USC00190120,2018-02-16,8,83,-6,2,2018,47,0.8,8.3,-0.6,3.8500000000000005
USC00190120,2018-02-17,0,94,-61,2,2018,48,0,9.4,-6.1,1.6500000000000004
USC00190120,2018-02-18,97,33,-56,2,2018,49,9.7,3.3,-5.6,-1.15
USC00190120,2018-02-19,0,56,-100,2,2018,50,0,5.6,-10,-2.2
