siteID,date,year,season,sampleTime,location,habitat,sampleID,organism_aggr,number,num_quads,startTime.UTC,benthicArea,invDens,acceptedTaxonID,tolerance,FFG,wTemp.max,wTemp.min,wTemp.mean
MILL,2018-05-29,2018,Summer,Summer 2018,Downstream,Riffle,01DRSU18.DFR,Acroneuria,1,2,2018-05-29T13:56:00Z,0.5,2,ACRABN,0,prd,21.55,16.32,18.114791666666665
MILL,2018-05-29,2018,Summer,Summer 2018,Downstream,Riffle,01DRSU18.DFR,Acroneuria,1,2,2018-05-29T13:56:00Z,0.5,2,ACRSP4,0,prd,21.55,16.32,18.114791666666665
MILL,2018-05-29,2018,Summer,Summer 2018,Downstream,Riffle,01DRSU18.DFR,Acroneuria,1,2,2018-05-29T13:56:00Z,0.5,2,ACRABN,0,prd,21.55,16.32,18.114791666666665
MILL,2018-05-29,2018,Summer,Summer 2018,Downstream,Riffle,01DRSU18.DFR,Acroneuria,1,2,2018-05-29T13:56:00Z,0.5,2,ACRCAR,0,prd,21.55,16.32,18.114791666666665
MILL,2018-05-29,2018,Summer,Summer 2018,Downstream,Riffle,01DRSU18.DFR,Acroneuria,1,2,2018-05-29T13:56:00Z,0.5,2,ACREVO,0,prd,21.55,16.32,18.114791666666665
MILL,2018-05-29,2018,Summer,Summer 2018,Downstream,Riffle,01DRSU18.DFR,Acroneuria,1,2,2018-05-29T13:56:00Z,0.5,2,ACRLYC,0,prd,21.55,16.32,18.114791666666665
MILL,2018-05-29,2018,Summer,Summer 2018,Downstream,Riffle,01DRSU18.DFR,Acroneuria,1,2,2018-05-29T13:56:00Z,0.5,2,ACRSP4,0,prd,21.55,16.32,18.114791666666665
MILL,2018-05-29,2018,Summer,Summer 2018,Downstream,Riffle,01DRSU18.DFR,Beloneuria,1,2,2018-05-29T13:56:00Z,0.5,2,BELSP1,3,prd,21.55,16.32,18.114791666666665
MILL,2018-05-29,2018,Summer,Summer 2018,Downstream,Riffle,01DRSU18.DFR,Ephemerella,6,2,2018-05-29T13:56:00Z,0.5,12,EPHDOR,1,cg,21.55,16.32,18.114791666666665
MILL,2018-05-29,2018,Summer,Summer 2018,Downstream,Riffle,01DRSU18.DFR,Ephemerella,6,2,2018-05-29T13:56:00Z,0.5,12,EPHINV,1,cg,21.55,16.32,18.114791666666665
MILL,2018-05-29,2018,Summer,Summer 2018,Downstream,Riffle,01DRSU18.DFR,Ephemerella,6,2,2018-05-29T13:56:00Z,0.5,12,EPHSP4,1,cg,21.55,16.32,18.114791666666665
MILL,2018-05-29,2018,Summer,Summer 2018,Downstream,Riffle,01DRSU18.DFR,Ferrissia_rivularis,6,2,2018-05-29T13:56:00Z,0.5,12,FERSP,6,scr,21.55,16.32,18.114791666666665
MILL,2018-05-29,2018,Summer,Summer 2018,Downstream,Riffle,01DRSU18.DFR,Hydropsyche,29,2,2018-05-29T13:56:00Z,0.5,58,CERBRO,6,cf,21.55,16.32,18.114791666666665
MILL,2018-05-29,2018,Summer,Summer 2018,Downstream,Riffle,01DRSU18.DFR,Hydropsyche,29,2,2018-05-29T13:56:00Z,0.5,58,CERMOR,6,cf,21.55,16.32,18.114791666666665
MILL,2018-05-29,2018,Summer,Summer 2018,Downstream,Riffle,01DRSU18.DFR,Hydropsyche,29,2,2018-05-29T13:56:00Z,0.5,58,CERSPA1,6,cf,21.55,16.32,18.114791666666665
MILL,2018-05-29,2018,Summer,Summer 2018,Downstream,Riffle,01DRSU18.DFR,Hydropsyche,29,2,2018-05-29T13:56:00Z,0.5,58,HYDBET,7,cf,21.55,16.32,18.114791666666665
MILL,2018-05-29,2018,Summer,Summer 2018,Downstream,Riffle,01DRSU18.DFR,Hydropsyche,29,2,2018-05-29T13:56:00Z,0.5,58,HYDSP23,6,cf,21.55,16.32,18.114791666666665
MILL,2018-05-29,2018,Summer,Summer 2018,Downstream,Riffle,01DRSU18.DFR,Hydropsyche,29,2,2018-05-29T13:56:00Z,0.5,58,CERBRO,6,cf,21.55,16.32,18.114791666666665
