siteID,date,year,startTime.UTC,season,sampleTime,location,pH,DO,turb,wTemp
MILL,2017-06-08,2017,NA,Summer,Summer 2017,Downstream,7.2,10.12,1.6,14.5
MILL,2017-06-09,2017,NA,Summer,Summer 2017,Upstream,7.4,10.13,1.31,13.48
MILL,2018-05-29,2018,13:22:00,Summer,Summer 2018,Downstream,7.61,8.32,NA,17.4
MILL,2018-05-31,2018,14:14:00,Summer,Summer 2018,Upstream,7.48,8.55,NA,17.3
MILL,2018-06-05,2018,13:24:00,Summer,Summer 2018,Downstream,7.51,8.84,NA,14.1
MILL,2018-06-06,2018,13:47:00,Summer,Summer 2018,Upstream,7.53,9.06,NA,14.4
MILL,2018-06-07,2018,13:28:00,Summer,Summer 2018,Downstream,7.4,8.82,NA,15.2
MILL,2018-06-08,2018,13:45:00,Summer,Summer 2018,Upstream,7.48,9.11,NA,14.9
MILL,2018-06-11,2018,19:00:00,Summer,Summer 2018,Downstream,7.67,8.56,NA,19.6
MILL,2018-06-11,2018,19:00:00,Summer,Summer 2018,Downstream,7.65,8.48,NA,19.9
MILL,2018-06-11,2018,19:00:00,Summer,Summer 2018,Downstream,7.66,8.46,NA,20.1
MILL,2018-06-11,2018,19:00:00,Summer,Summer 2018,Downstream,7.7,8.45,NA,20.2
MILL,2018-06-11,2018,19:00:00,Summer,Summer 2018,Downstream,7.66,8.62,4.6,19
MILL,2018-06-11,2018,19:00:00,Summer,Summer 2018,Downstream,7.67,8.49,NA,19.8
MILL,2018-06-11,2018,19:00:00,Summer,Summer 2018,Downstream,7.69,8.43,NA,19.9
MILL,2018-06-11,2018,19:00:00,Summer,Summer 2018,Downstream,7.66,8.46,NA,20.1
MILL,2018-06-11,2018,19:00:00,Summer,Summer 2018,Downstream,7.69,8.46,NA,20.2
MILL,2018-06-11,2018,19:00:00,Summer,Summer 2018,Downstream,7.63,8.51,NA,19.1
MILL,2018-06-11,2018,19:00:00,Summer,Summer 2018,Downstream,7.66,8.48,NA,19.8
MILL,2018-06-11,2018,19:00:00,Summer,Summer 2018,Downstream,7.68,8.48,NA,20
MILL,2018-06-11,2018,19:00:00,Summer,Summer 2018,Downstream,7.67,8.46,NA,20.1
MILL,2018-06-11,2018,19:00:00,Summer,Summer 2018,Downstream,7.73,8.51,NA,20.3
MILL,2018-06-11,2018,19:00:00,Summer,Summer 2018,Downstream,7.68,8.65,NA,19.3
MILL,2018-06-11,2018,18:08:00,Summer,Summer 2018,Upstream,7.94,9.02,NA,18.6
MILL,2018-06-11,2018,18:08:00,Summer,Summer 2018,Upstream,7.98,9.08,NA,18.7
MILL,2018-06-11,2018,18:08:00,Summer,Summer 2018,Upstream,7.91,8.83,NA,18.7
MILL,2018-06-11,2018,18:08:00,Summer,Summer 2018,Upstream,7.83,9.18,5.6,18.3
MILL,2018-06-11,2018,18:08:00,Summer,Summer 2018,Upstream,7.94,8.83,NA,18.8
MILL,2018-06-11,2018,18:08:00,Summer,Summer 2018,Upstream,7.94,9.05,NA,18.8
MILL,2018-06-11,2018,18:08:00,Summer,Summer 2018,Upstream,7.96,9.08,NA,18.8
MILL,2018-06-11,2018,18:08:00,Summer,Summer 2018,Upstream,7.93,8.81,NA,18.8
MILL,2018-06-11,2018,18:08:00,Summer,Summer 2018,Upstream,7.9,9.18,NA,18.4
MILL,2018-06-11,2018,18:08:00,Summer,Summer 2018,Upstream,7.94,8.84,NA,18.9
MILL,2018-06-11,2018,18:08:00,Summer,Summer 2018,Upstream,7.93,9,NA,18.7
MILL,2018-06-11,2018,18:08:00,Summer,Summer 2018,Upstream,7.97,9.08,NA,18.8
MILL,2018-06-11,2018,18:08:00,Summer,Summer 2018,Upstream,7.94,8.83,NA,18.8
MILL,2018-06-11,2018,18:08:00,Summer,Summer 2018,Upstream,7.94,9.17,NA,18.5
MILL,2018-06-11,2018,18:08:00,Summer,Summer 2018,Upstream,7.93,8.84,NA,18.9
MILL,2018-09-17,2018,17:45:00,Fall,Fall 2018,Downstream,NA,NA,12.4,NA
MILL,2018-09-17,2018,17:45:00,Fall,Fall 2018,Downstream,NA,NA,4.2,NA
MILL,2018-09-17,2018,17:45:00,Fall,Fall 2018,Downstream,NA,NA,5.2,NA
MILL,2018-09-17,2018,17:45:00,Fall,Fall 2018,Downstream,NA,NA,6.3,NA
MILL,2018-09-17,2018,17:45:00,Fall,Fall 2018,Downstream,NA,NA,11.9,NA
MILL,2018-09-17,2018,17:45:00,Fall,Fall 2018,Downstream,7.47,9.12,NA,21.3
MILL,2018-09-24,2018,17:45:00,Fall,Fall 2018,Upstream,NA,NA,5.3,NA
MILL,2018-09-24,2018,17:45:00,Fall,Fall 2018,Upstream,NA,NA,9.2,NA
MILL,2018-09-24,2018,17:45:00,Fall,Fall 2018,Upstream,NA,NA,9.6,NA
MILL,2018-09-24,2018,17:45:00,Fall,Fall 2018,Upstream,NA,NA,9.6,NA
