acceptedTaxonID,taxonRank,scientificName,organism_aggr,phylum,subphylum,class,order,family,subfamily,tribe,genus,species,taxa.notes,tolerance,FFG,FFG2
ABLKAR,subgenus,Ablabesmyia (Karelia) sp.,midges,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Tanypodinae,Pentaneurini,Ablabesmyia,NA,NA,8,prd,NA
ABLMAL,species,Ablabesmyia mallochi,midges,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Tanypodinae,Pentaneurini,Ablabesmyia,NA,NA,8,prd,NA
ABLSP,genus,Ablabesmyia sp.,midges,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Tanypodinae,Pentaneurini,Ablabesmyia,NA,NA,8,prd,cg
ACASP1,subclass,Acari sp.,Acari,Arthropoda,Chelicerata,Arachnida,NA,NA,NA,NA,NA,NA,NA,6,prd,NA
ACEBAR,species,Acentrella barbarae,Acentrella,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Baetidae,NA,NA,Acentrella,NA,NA,4,cg,NA
ACEFER,species,Acentrella feropagus,Acentrella,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Baetidae,NA,NA,Acentrella,NA,NA,4,cg,NA
ACEINS,species,Acentrella insignificans,Acentrella,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Baetidae,NA,NA,Acentrella,NA,NA,4,cg,NA
ACELAP,species,Acentrella lapponica,Acentrella,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Baetidae,NA,NA,Acentrella,NA,NA,4,cg,NA
ACEMAC,species,Acerpenna macdunnoughi,Acerpenna,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Baetidae,NA,NA,Acerpenna,macdunnoughi,NA,5,cg,NA
ACEPAR,species,Acentrella parvula,Acentrella,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Baetidae,NA,NA,Acentrella,parvula,NA,4,cg,NA
ACEPYG,species,Acerpenna pygmaea,Acerpenna,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Baetidae,NA,NA,Acerpenna,NA,NA,4,cg,NA
ACESP,genus,Acentrella sp.,Acentrella,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Baetidae,NA,NA,Acentrella,NA,NA,4,cg,NA
ACESP,genus,Acentrella sp.,Acentrella,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Baetidae,NA,NA,Acentrella,NA,NA,4,cg,NA
ACESP1,genus,Acerpenna sp.,Acerpenna,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Baetidae,NA,NA,Acerpenna,NA,NA,4,cg,NA
ACETUR,species,Acentrella turbida,Acentrella,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Baetidae,NA,NA,Acentrella,turbida,NA,4,cg,NA
ACETUR,species,Acentrella turbida,Acentrella,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Baetidae,NA,NA,Acentrella,turbida,NA,4,cg,NA
ACRABN,species,Acroneuria abnormis,Acroneuria,Arthropoda,Hexapoda,Insecta,Plecoptera,Perlidae,Acroneuriinae,Acroneuriini,Acroneuria,abnormis,NA,0,prd,NA
ACRABN,species,Acroneuria abnormis,Acroneuria,Arthropoda,Hexapoda,Insecta,Plecoptera,Perlidae,Acroneuriinae,Acroneuriini,Acroneuria,abnormis,NA,0,prd,NA
ACRCAR,species,Acroneuria carolinensis,Acroneuria,Arthropoda,Hexapoda,Insecta,Plecoptera,Perlidae,Acroneuriinae,Acroneuriini,Acroneuria,carolinenis,NA,0,prd,NA
ACRCAR,species,Acroneuria carolinensis,Acroneuria,Arthropoda,Hexapoda,Insecta,Plecoptera,Perlidae,NA,NA,Acroneuria,carolinenis,NA,0,prd,NA
ACREVO,species,Acroneuria evoluta,Acroneuria,Arthropoda,Hexapoda,Insecta,Plecoptera,Perlidae,Acroneuriinae,Acroneuriini,Acroneuria,evoluta,NA,0,prd,NA
ACREVO,species,Acroneuria evoluta,Acroneuria,Arthropoda,Hexapoda,Insecta,Plecoptera,Perlidae,NA,NA,Acroneuria,evoluta,NA,0,prd,NA
ACRLYC,species,Acroneuria lycorias,Acroneuria,Arthropoda,Hexapoda,Insecta,Plecoptera,Perlidae,Acroneuriinae,Acroneuriini,Acroneuria,lycorias,NA,0,prd,NA
ACRLYC,species,Acroneuria lycorias,Acroneuria,Arthropoda,Hexapoda,Insecta,Plecoptera,Perlidae,NA,NA,Acroneuria,lycorias,NA,0,prd,NA
ACRSP4,genus,Acroneuria sp.,Acroneuria,Arthropoda,Hexapoda,Insecta,Plecoptera,Perlidae,Acroneuriinae,Acroneuriini,Acroneuria,NA,NA,0,prd,NA
ACRSP4,genus,Acroneuria sp.,Acroneuria,Arthropoda,Hexapoda,Insecta,Plecoptera,Perlidae,Acroneuriinae,Acroneuriini,Acroneuria,NA,NA,0,prd,NA
ACTSP5,genus,Actinobdella sp.,leeches,Annelida,NA,Clitellata,Rhynchobdellida,Glossiphoniidae,Haementeriinae,NA,Actinobdella,NA,NA,8,prd,NA
AEDSP,genus,Aedes sp.,Aedes,Arthropoda,Hexapoda,Insecta,Diptera,Culicidae,Culicinae,Culicini,Aedes,NA,NA,8,cf,NA
