acceptedTaxonID,taxonRank,scientificName,phylum,subphylum,class,order,family,subfamily,tribe,genus,species,organism_aggr,tolerance,FFG,FFG2
BRASP9,family,Branchiobdellidae sp.,Annelida,Clitellata,Clitellata,Branchiobdellida,Branchiobdellidae,NA,NA,NA,NA,leeches,6,cg,NA
ERPSP3,genus,Erpobdella sp.,Annelida,Clitellata,Hirudinea,Arhynchobdellida,Erpobdellidae,Erpobdellinae,NA,Erpobdella,NA,leeches,8,prd,NA
GLOCOM,species,Glossiphonia complanata,Annelida,Clitellata,Hirudinea,Rhynchobdellida,Glossiphoniidae,Glossiphoniinae,NA,Glossiphonia,NA,leeches,8,prd,NA
PLASP16,genus,Placobdella sp.,Annelida,Clitellata,Hirudinea,Rhynchobdellida,Glossiphoniidae,Glossiphoniinae,NA,Placobdella,NA,leeches,8,prd,NA
ACTSP5,genus,Actinobdella sp.,Annelida,Clitellata,Hirudinea,Rhynchobdellida,Glossiphoniidae,Haementeriinae,NA,Actinobdella,NA,leeches,8,prd,NA
GLOELO,species,Gloiobdella elongata,Annelida,Clitellata,Hirudinea,Rhynchobdellida,Glossiphoniidae,Haementeriinae,NA,Gloiobdella,elongata,leeches,8,prd,NA
HELSTA,species,Helobdella stagnalis,Annelida,Clitellata,Hirudinea,Rhynchobdellida,Glossiphoniidae,Haementeriinae,NA,Helobdella,NA,leeches,6,prd,NA
HELSP19,genus,Helobdella sp.,Annelida,Clitellata,Hirudinea,Rhynchobdellida,Glossiphoniidae,Haementeriinae,NA,Helobdella,NA,leeches,8,prd,NA
GLOSP,family,Glossiphoniidae sp.,Annelida,Clitellata,Hirudinea,Rhynchobdellida,Glossiphoniidae,NA,NA,NA,NA,leeches,8,prd,NA
AEOSP2,genus,Aeolosoma sp.,Annelida,Clitellata,Oligochaeta,Aeolosomatida,Aeolosomatidae,NA,NA,Aeolosoma,NA,segmented_worms,8,cf,NA
ENCSP1,family,Enchytraeidae sp.,Annelida,Clitellata,Oligochaeta,Enchytraeida,Enchytraeidae,NA,NA,NA,NA,segmented_worms,10,cg,NA
HAPSP4,genus,Haplotaxis sp.,Annelida,Clitellata,Oligochaeta,Haplotaxida,Haplotaxidae,NA,NA,Haplotaxis,NA,segmented_worms,5,prd,NA
LUMSP2,family,Lumbriculidae sp.,Annelida,Clitellata,Oligochaeta,Lumbriculida,Lumbriculidae,NA,NA,NA,NA,segmented_worms,5,cg,NA
RHYSP7,genus,Rhynchelmis sp.,Annelida,Clitellata,Oligochaeta,Lumbriculida,Lumbriculidae,NA,NA,Rhynchelmis,NA,segmented_worms,5,cg,NA
STYHER,species,Stylodrilus heringianus,Annelida,Clitellata,Oligochaeta,Lumbriculida,Lumbriculidae,NA,NA,Stylodrilus,heringianus,segmented_worms,5,cg,NA
OLISP,subclass,Oligochaeta sp.,Annelida,Clitellata,Oligochaeta,NA,NA,NA,NA,NA,NA,segmented_worms,7,cg,NA
LUMSP1,suborder,Lumbricina sp.,Annelida,Clitellata,Oligochaeta,Tubificida,NA,NA,NA,NA,NA,segmented_worms,6,cg,NA
TUBSP,order,Tubificida sp.,Annelida,Clitellata,Oligochaeta,Tubificida,NA,NA,NA,NA,NA,segmented_worms,10,cg,NA
NAISP,family,Naididae sp.,Annelida,Clitellata,Oligochaeta,Tubificida,Naididae,NA,NA,NA,NA,segmented_worms,8,cg,NA
NAISP,family,Naididae sp.,Annelida,Clitellata,Oligochaeta,Tubificida,Naididae,NA,NA,NA,NA,segmented_worms,10,cg,NA
AMPLEY,species,Amphichaeta leydigi,Annelida,Clitellata,Oligochaeta,Tubificida,Naididae,Naidinae,NA,Amphichaeta,leydigi,segmented_worms,6,cg,NA
BRADAD,species,Bratislavia dadayi,Annelida,Clitellata,Oligochaeta,Tubificida,Naididae,Naidinae,NA,Bratislavia,NA,segmented_worms,8,cg,NA
CHADIA,species,Chaetogaster diaphanus,Annelida,Clitellata,Oligochaeta,Tubificida,Naididae,Naidinae,NA,Chaetogaster,NA,segmented_worms,7,prd,NA
CHADIA1,species,Chaetogaster diastrophus,Annelida,Clitellata,Oligochaeta,Tubificida,Naididae,Naidinae,NA,Chaetogaster,NA,segmented_worms,7,prd,NA
DERSP4,genus,Dero sp.,Annelida,Clitellata,Oligochaeta,Tubificida,Naididae,Naidinae,NA,Dero,NA,segmented_worms,10,cg,NA
DERDIG,species,Dero digitata,Annelida,Clitellata,Oligochaeta,Tubificida,Naididae,Naidinae,NA,Dero,NA,segmented_worms,10,cg,NA
DERFUR,species,Dero furcata,Annelida,Clitellata,Oligochaeta,Tubificida,Naididae,Naidinae,NA,Dero,NA,segmented_worms,10,cg,NA
NAIBEH,species,Nais behningi,Annelida,Clitellata,Oligochaeta,Tubificida,Naididae,Naidinae,NA,Nais,NA,segmented_worms,6,cg,NA
NAIBRE,species,Nais bretscheri,Annelida,Clitellata,Oligochaeta,Tubificida,Naididae,Naidinae,NA,Nais,NA,segmented_worms,6,cg,NA
NAIALP,species,Nais alpina,Annelida,Clitellata,Oligochaeta,Tubificida,Naididae,Naidinae,NA,Nais,NA,segmented_worms,8,cg,NA
NAICOM,speciesGroup,Nais communis/variabilis,Annelida,Clitellata,Oligochaeta,Tubificida,Naididae,Naidinae,NA,Nais,NA,segmented_worms,9,cg,NA
PIGSP,genus,Piguetiella sp.,Annelida,Clitellata,Oligochaeta,Tubificida,Naididae,Naidinae,NA,Piguetiella,NA,segmented_worms,6,cg,NA
SLAAPP,species,Slavina appendiculata,Annelida,Clitellata,Oligochaeta,Tubificida,Naididae,Naidinae,NA,Slavina,NA,segmented_worms,6,cg,NA
SPEJOS,species,Specaria josinae,Annelida,Clitellata,Oligochaeta,Tubificida,Naididae,Naidinae,NA,Specaria,NA,segmented_worms,6,cg,NA
STYLAC,species,Stylaria lacustris,Annelida,Clitellata,Oligochaeta,Tubificida,Naididae,Naidinae,NA,Stylaria,lacustris,segmented_worms,6,cg,NA
UNCUNC,species,Uncinais uncinata,Annelida,Clitellata,Oligochaeta,Tubificida,Naididae,Naidinae,NA,Uncinais,NA,segmented_worms,7,cg,NA
VEJINT,species,Vejdovskyella intermedia,Annelida,Clitellata,Oligochaeta,Tubificida,Naididae,Naidinae,NA,Vejdovskyella,NA,segmented_worms,6,cg,NA
PRISP1,species,Pristina sp.,Annelida,Clitellata,Oligochaeta,Tubificida,Naididae,Pristininae,NA,Pristina,idrensis,segmented_worms,8,cg,NA
PRIJEN,species,Pristina jenkinae,Annelida,Clitellata,Oligochaeta,Tubificida,Naididae,Pristininae,NA,Pristina,jenkinae,segmented_worms,8,cg,NA
PRISP1,genus,Pristina sp.,Annelida,Clitellata,Oligochaeta,Tubificida,Naididae,Pristininae,NA,Pristina,NA,segmented_worms,8,cg,NA
PRIAEQ,species,Pristina aequiseta,Annelida,Clitellata,Oligochaeta,Tubificida,Naididae,Pristininae,NA,Pristina,NA,segmented_worms,8,cg,NA
PRIBRE,species,Pristina breviseta,Annelida,Clitellata,Oligochaeta,Tubificida,Naididae,Pristininae,NA,Pristina,NA,segmented_worms,8,cg,NA
PRILEI,species,Pristina leidyi,Annelida,Clitellata,Oligochaeta,Tubificida,Naididae,Pristininae,NA,Pristina,NA,segmented_worms,8,cg,NA
PRILON,species,Pristina longiseta,Annelida,Clitellata,Oligochaeta,Tubificida,Naididae,Pristininae,NA,Pristina,NA,segmented_worms,8,cg,NA
PRIPRO,species,Pristina proboscidea,Annelida,Clitellata,Oligochaeta,Tubificida,Naididae,Pristininae,NA,Pristina,NA,segmented_worms,8,cg,NA
PRIOSB,species,Pristina osborni,Annelida,Clitellata,Oligochaeta,Tubificida,Naididae,Pristininae,NA,Pristina,osborni,segmented_worms,8,cg,NA
PRISP1,species,Pristina sp.,Annelida,Clitellata,Oligochaeta,Tubificida,Naididae,Pristininae,NA,Pristina,plumaseta,segmented_worms,8,cg,NA
BOTVEJ,species,Bothrioneurum vejdovskyanum,Annelida,Clitellata,Oligochaeta,Tubificida,Naididae,Rhyacodrilinae,NA,Bothrioneurum,vejdovskyanum,segmented_worms,7,cg,NA
BRASOW,species,Branchiura sowerbyi,Annelida,Clitellata,Oligochaeta,Tubificida,Naididae,Rhyacodrilinae,NA,Branchiura,sowerbyi,segmented_worms,6,cg,NA
RHYSP5,genus,Rhyacodrilus sp.,Annelida,Clitellata,Oligochaeta,Tubificida,Naididae,Rhyacodrilinae,NA,Rhyacodrilus,NA,segmented_worms,10,cg,NA
RHYCOC,species,Rhyacodrilus coccineus,Annelida,Clitellata,Oligochaeta,Tubificida,Naididae,Rhyacodrilinae,NA,Rhyacodrilus,NA,segmented_worms,10,cg,NA
AULSP,species,Aulodrilus sp.,Annelida,Clitellata,Oligochaeta,Tubificida,Naididae,Tubificinae,NA,Aulodrilus,americanus,segmented_worms,7,cg,NA
AULLIM,species,Aulodrilus limnobius,Annelida,Clitellata,Oligochaeta,Tubificida,Naididae,Tubificinae,NA,Aulodrilus,NA,segmented_worms,7,cg,NA
AULPIG,species,Aulodrilus pigueti,Annelida,Clitellata,Oligochaeta,Tubificida,Naididae,Tubificinae,NA,Aulodrilus,NA,segmented_worms,7,cg,NA
AULPLU,species,Aulodrilus pluriseta,Annelida,Clitellata,Oligochaeta,Tubificida,Naididae,Tubificinae,NA,Aulodrilus,pluriseta,segmented_worms,7,cg,NA
ILYTEM,species,Ilyodrilus templetoni,Annelida,Clitellata,Oligochaeta,Tubificida,Naididae,Tubificinae,NA,Ilyodrilus,NA,segmented_worms,10,cg,NA
ISOCUR,species,Isochaetides curvisetosus,Annelida,Clitellata,Oligochaeta,Tubificida,Naididae,Tubificinae,NA,Isochaetides,NA,segmented_worms,8,cg,NA
LIMHOF,species,Limnodrilus hoffmeisteri,Annelida,Clitellata,Oligochaeta,Tubificida,Naididae,Tubificinae,NA,Limnodrilus,hoffmeisteri,segmented_worms,10,cg,NA
LIMSP31,genus,Limnodrilus sp.,Annelida,Clitellata,Oligochaeta,Tubificida,Naididae,Tubificinae,NA,Limnodrilus,NA,segmented_worms,10,cg,NA
LIMCER,species,Limnodrilus cervix,Annelida,Clitellata,Oligochaeta,Tubificida,Naididae,Tubificinae,NA,Limnodrilus,NA,segmented_worms,10,cg,NA
LIMCLA,species,Limnodrilus claparedeianus,Annelida,Clitellata,Oligochaeta,Tubificida,Naididae,Tubificinae,NA,Limnodrilus,NA,segmented_worms,10,cg,NA
LIMMAU,species,Limnodrilus maumeensis,Annelida,Clitellata,Oligochaeta,Tubificida,Naididae,Tubificinae,NA,Limnodrilus,NA,segmented_worms,10,cg,NA
LIMCLA1,speciesGroup,Limnodrilus claparedianus-cervix cx.,Annelida,Clitellata,Oligochaeta,Tubificida,Naididae,Tubificinae,NA,Limnodrilus,NA,segmented_worms,10,cg,NA
LIMHOF1,speciesGroup,Limnodrilus hoffmeisteri cx.,Annelida,Clitellata,Oligochaeta,Tubificida,Naididae,Tubificinae,NA,Limnodrilus,NA,segmented_worms,10,cg,NA
LIMUDE,species,Limnodrilus udekemianus,Annelida,Clitellata,Oligochaeta,Tubificida,Naididae,Tubificinae,NA,Limnodrilus,udekemianus,segmented_worms,10,cg,NA
SPINIK,species,Spirosperma nikolskyi,Annelida,Clitellata,Oligochaeta,Tubificida,Naididae,Tubificinae,NA,Spirosperma,nikolskyi,segmented_worms,6,cg,NA
TASAME,species,Tasserkidrilus americanus,Annelida,Clitellata,Oligochaeta,Tubificida,Naididae,Tubificinae,NA,Tasserkidrilus,NA,segmented_worms,10,cg,NA
TENSP5,genus,Teneridrilus sp.,Annelida,Clitellata,Oligochaeta,Tubificida,Naididae,Tubificinae,NA,Teneridrilus,NA,segmented_worms,10,cg,NA
TUBTUB,species,Tubifex tubifex,Annelida,Clitellata,Oligochaeta,Tubificida,Naididae,Tubificinae,NA,Tubifex,NA,segmented_worms,10,cg,NA
VARANG,species,Varichaetadrilus angustipenis,Annelida,Clitellata,Oligochaeta,Tubificida,Naididae,Tubificinae,NA,Varichaetadrilus,NA,segmented_worms,10,cg,NA
ENCSP1,family,Enchytraeidae sp.,Annelida,NA,Clitellata,Enchytraeida,Enchytraeidae,NA,NA,unknown_enchytraeid,NA,segmented_worms,10,cg,NA
